source,row_index,row_text,period,id,name,order,level,off_balance,unit,value,item,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TCB_balance_sheet_doc,172,2023-Q1 | BS_PLACEMENTS_AND_LOANS_TO_CREDIT_INSTITUTIONS | Placements and Loans to Credit Institutions | 4 | 1 | False | VNĐ | 66839068000000.0,2023-Q1,BS_PLACEMENTS_AND_LOANS_TO_CREDIT_INSTITUTIONS,Placements and Loans to Credit Institutions,4,1,False,VNĐ,66839068000000.0,,,,,
TCB_balance_sheet_doc,174,2023-Q1 | BS_LOANS_TO_CUSTOMERS | Loans to Customers | 12 | 1 | False | VNĐ | 460145233000000.0,2023-Q1,BS_LOANS_TO_CUSTOMERS,Loans to Customers,12,1,False,VNĐ,460145233000000.0,,,,,
TCB_balance_sheet_doc,175,2023-Q1 | BS_PROVISION_LOANS_TO_CUSTOMERS |   ‣ Provision Loans to Customers | 14 | 2 | False | VNĐ | -5280112000000.0,2023-Q1,BS_PROVISION_LOANS_TO_CUSTOMERS,  ‣ Provision Loans to Customers,14,2,False,VNĐ,-5280112000000.0,,,,,
TCB_balance_sheet_doc,178,2023-Q1 | BS_PLACEMENTS_AND_BORROWINGS_FROM_CREDIT_INSTITUTIONS |   ‣ Placements and Borrowings from Credit Institutions | 51 | 2 | False | VNĐ | 151194118000000.0,2023-Q1,BS_PLACEMENTS_AND_BORROWINGS_FROM_CREDIT_INSTITUTIONS,  ‣ Placements and Borrowings from Credit Institutions,51,2,False,VNĐ,151194118000000.0,,,,,
TCB_balance_sheet_doc,179,2023-Q1 | BS_CUSTOMER_DEPOSITS |   ‣ Customer Deposits | 54 | 2 | False | VNĐ | 387297891000000.0,2023-Q1,BS_CUSTOMER_DEPOSITS,  ‣ Customer Deposits,54,2,False,VNĐ,387297891000000.0,,,,,
TCB_balance_sheet_doc,185,2022-Q4 | BS_PLACEMENTS_AND_LOANS_TO_CREDIT_INSTITUTIONS | Placements and Loans to Credit Institutions | 4 | 1 | False | VNĐ | 82873754000000.0,2022-Q4,BS_PLACEMENTS_AND_LOANS_TO_CREDIT_INSTITUTIONS,Placements and Loans to Credit Institutions,4,1,False,VNĐ,82873754000000.0,,,,,
TCB_balance_sheet_doc,187,2022-Q4 | BS_LOANS_TO_CUSTOMERS | Loans to Customers | 12 | 1 | False | VNĐ | 415752256000000.0,2022-Q4,BS_LOANS_TO_CUSTOMERS,Loans to Customers,12,1,False,VNĐ,415752256000000.0,,,,,
TCB_balance_sheet_doc,188,2022-Q4 | BS_PROVISION_LOANS_TO_CUSTOMERS |   ‣ Provision Loans to Customers | 14 | 2 | False | VNĐ | -4771449000000.0,2022-Q4,BS_PROVISION_LOANS_TO_CUSTOMERS,  ‣ Provision Loans to Customers,14,2,False,VNĐ,-4771449000000.0,,,,,
TCB_balance_sheet_doc,191,2022-Q4 | BS_PLACEMENTS_AND_BORROWINGS_FROM_CREDIT_INSTITUTIONS |   ‣ Placements and Borrowings from Credit Institutions | 51 | 2 | False | VNĐ | 167562969000000.0,2022-Q4,BS_PLACEMENTS_AND_BORROWINGS_FROM_CREDIT_INSTITUTIONS,  ‣ Placements and Borrowings from Credit Institutions,51,2,False,VNĐ,167562969000000.0,,,,,
TCB_balance_sheet_doc,192,2022-Q4 | BS_CUSTOMER_DEPOSITS |   ‣ Customer Deposits | 54 | 2 | False | VNĐ | 358403785000000.0,2022-Q4,BS_CUSTOMER_DEPOSITS,  ‣ Customer Deposits,54,2,False,VNĐ,358403785000000.0,,,,,
